name	patrM	patrF
Протас	Протасович	Протасовна
Протасий	Протасиевич|Протасьевич	Протасиевна|Протасьевна
Прохор	Прохорович	Прохоровна
Радий	Радиевич	Радиевна
Радим	Радимович	Радимовна
Радислав	Радиславович|Радиславич	Радиславовна|Радиславна
Радован	Радованович	Радовановна
Ратибор	Ратиборович	Ратиборовна
Ратмир	Ратмирович	Ратмировна
Рафаил	Рафаилович	Рафаиловна
Рем	Ремович	Ремовна
Роберт	Робертович	Робертовна
Родион	Родионович	Родионовна
Роман	Романович	Романовна
Ростислав	Ростиславович|Ростиславич	Ростиславовна|Ростиславна
Рубен	Рубенович	Рубеновна
Рувим	Рувимович	Рувимовна
Рудольф	Рудольфович	Рудольфовна
Руслан	Русланович	Руслановна
Рюрик	Рюрикович	Рюриковна
Савва	Саввич	Саввична
Савватей	Савватеевич	Савватеевна
Савватий	Савватиевич|Савватьевич	Савватиевна|Савватьевна
Савёл	Савёлович	Савёловна
Савелий	Савелиевич|Савельевич	Савелиевна|Савельевна
Саверий	Савериевич|Саверьевич	Савериевна|Саверьевна
Савин	Савинович	Савиновна
Савиниан	Савинианович	Савиниановна
Сакердон	Сакердонович	Сакердоновна
Салтам	Салтамович	Салтамовна
Самойла	Самойлович	Самойловна
Самсон	Самсонович	Самсоновна
Самсоний	Самсониевич|Самсоньевич	Самсониевна|Самсоньевна
Самуил	Самуилович	Самуиловна
Светозар	Светозарович	Светозаровна
Свирид	Свиридович	Свиридовна
Святополк	Святополкович	Святополковна
Святослав	Святославович|Святославич	Святославовна|Святославна
Себастьян	Себастьянович	Себастьяновна
Севастьян	Севастьянович	Севастьяновна
Северин	Северинович	Севериновна
Северьян	Северьянович	Северьяновна
Селиван	Селиванович	Селивановна
Селивёрст	Селивёрстович	Селивёрстовна
Селифан	Селифанович	Селифановна
Семён	Семёнович	Семёновна
Семион	Семионович	Семионовна
Серапион	Серапионович	Серапионовна
Серафим	Серафимович	Серафимовна
Сергей	Сергеевич	Сергеевна
Сигизмунд	Сигизмундович	Сигизмундовна
Сидор	Сидорович	Сидоровна
Сила	Силич	Силовна
Силан	Силанович	Силановна
Силантий	Силантиевич|Силантьевич	Силантиевна|Силантьевна
Силуян	Силуянович	Силуяновна
Сильван	Сильванович	Сильвановна
Сильвестр	Сильвестрович	Сильвестровна
Симеон	Симеонович	Симеоновна
Симон	Симонович	Симоновна
Смарагд	Смарагдович	Смарагдовна
Созон	Созонович	Созоновна
Созонт	Созонтович	Созонтовна
Созонтий	Созонтиевич|Созонтьевич	Созонтиевна|Созонтьевна
Сократ	Сократович	Сократовна
Соломон	Соломонович	Соломоновна
Сосипатр	Сосипатрович	Сосипатровна
Софон	Софонович	Софоновна
Софоний	Софониевич|Софоньевич	Софониевна|Софоньевна
Софрон	Софронович	Софроновна
Софроний	Софрониевич|Софроньевич	Софрониевна|Софроньевна
Спартак	Спартакович	Спартаковна
Спиридон	Спиридонович	Спиридоновна
Спиридоний	Спиридониевич|Спиридоньевич	Спиридониевна|Спиридоньевна
Станимир	Станимирович	Станимировна
Станислав	Станиславович|Станиславич	Станиславовна|Станиславна
Стахий	Стахиевич	Стахиевна
Степан	Степанович	Степановна
Стоян	Стоянович	Стояновна
Стратоник	Стратоникович	Стратониковна
Сысой	Сысоевич	Сысоевна
Тарас	Тарасович	Тарасовна
Твердислав	Твердиславович|Твердиславич	Твердиславовна|Твердиславна
Творимир	Творимирович	Творимировна
Терентий	Терентиевич|Терентьевич	Терентиевна|Терентьевна
Тертий	Тертиевич	Тертиевна
Тигран	Тигранович	Тиграновна
Тигрий	Тигриевич	Тигриевна
Тимофей	Тимофеевич	Тимофеевна
Тимур	Тимурович	Тимуровна
Тит	Титович	Титовна
Тихон	Тихонович	Тихоновна
Тристан	Тристанович	Тристановна
Трифилий	Трифилиевич|Трифильевич	Трифилиевна|Трифильевна
Трифон	Трифонович	Трифоновна
Трофим	Трофимович	Трофимовна
Увар	Уварович	Уваровна
Уар	Уарович	Уаровна
Ульян	Ульянович	Ульяновна
Устин	Устинович	Устиновна
Фабиан	Фабианович	Фабиановна
Фадей	Фадеевич	Фадеевна
Фаддей	Фаддеевич	Фаддеевна
Фалалей	Фалалеевич	Фалалеевна
Фатьян	Фатьянович	Фатьяновна
Фёдор	Фёдорович	Фёдоровна
Федос	Федосович	Федосовна
Федосей	Федосеевич	Федосеевна
Федосий	Федосиевич|Федосьевич	Федосиевна|Федосьевна
Федот	Федотович	Федотовна
Федотий	Федотиевич|Федотьевич	Федотиевна|Федотьевна
Федул	Федулович	Федуловна
Феликс	Феликсович	Феликсовна
Фемистокл	Фемистоклович	Фемистокловна
Феогност	Феогностович	Феогностовна
